,index,AgeBins,Bldg Type,Gr Liv Area,Lot Frontage,Lot Area,Has2ndFloor,HasBasement,HasGarage,has_fireplace,Bedroom AbvGr,Kitchen AbvGr,Bathrooms,Overall Qual,SalePrice
162,196,3,1Fam,1453,53,6360,True,True,True,1,3,1,1.5,5,132000
163,197,3,1Fam,1416,50,6000,True,True,True,0,3,1,1.5,6,139900
164,198,3,1Fam,1040,52,6240,True,True,True,0,2,1,1.0,5,123900
165,199,3,1Fam,1536,52,6240,True,True,True,1,4,1,2.0,5,138400
166,200,3,1Fam,1068,51,6120,False,True,True,1,2,1,1.0,6,109500
167,201,3,1Fam,1710,50,10300,True,True,True,0,3,1,2.0,7,140000
168,202,3,1Fam,1962,57,8094,True,True,True,1,4,1,1.5,4,149500
169,203,3,1Fam,1560,60,12900,True,True,False,0,3,1,1.5,6,159900
170,204,3,1Fam,1324,52,3068,True,True,True,0,3,1,1.0,6,122000
171,205,2,Duplex,816,110,8472,False,True,True,0,2,1,1.0,5,110000
172,206,3,2fmCon,1092,70,5600,True,False,False,0,3,2,2.0,4,55000
173,207,3,2fmCon,1812,76,7630,True,True,True,1,4,2,2.0,5,140000
174,208,3,1Fam,2403,88,24090,True,True,True,1,4,1,2.0,7,244400
175,209,3,1Fam,1675,100,15263,False,True,True,1,3,1,2.0,5,173000
176,210,3,1Fam,1224,72,10632,True,True,True,0,3,1,1.5,5,107500
177,211,3,2fmCon,1392,60,9900,True,True,False,0,3,1,1.0,5,100000
178,212,3,1Fam,919,65,6001,True,True,True,0,3,1,1.0,6,95000
179,214,3,2fmCon,1680,60,6048,True,True,True,1,2,2,2.0,5,114900
180,215,3,1Fam,1020,54,6342,True,True,False,0,2,1,1.0,5,94000
181,216,2,Duplex,1832,72,10773,False,True,False,0,4,2,2.0,4,136000
182,217,2,Duplex,1768,72,10778,False,True,False,0,4,2,2.0,4,136500
183,218,2,2fmCon,1039,75,11625,False,True,True,0,3,1,1.5,5,131500
184,219,3,1Fam,1392,74,11341,False,True,True,1,3,1,1.5,5,121500
185,220,2,1Fam,912,70,8521,False,True,True,1,3,1,1.0,5,125000
186,221,2,1Fam,1060,74,8246,False,True,True,1,3,1,1.0,5,154000
187,222,2,1Fam,892,65,7800,False,True,True,0,3,1,1.0,5,137900
188,223,2,1Fam,1352,80,9364,True,True,True,0,4,1,1.5,6,158000
189,224,2,1Fam,864,65,7832,False,True,True,0,2,1,1.0,5,137250
190,225,2,Duplex,1373,74,7424,False,True,True,1,3,1,1.0,5,160250
191,226,2,1Fam,1440,86,11227,True,True,True,1,4,1,1.5,5,163000
192,228,1,1Fam,2260,80,14000,True,True,True,0,3,1,2.5,7,328000
193,229,2,1Fam,1483,88,20062,False,True,True,1,1,1,1.5,7,270000
194,230,3,1Fam,756,94,9259,False,True,True,0,2,1,1.0,4,85000
195,231,3,1Fam,1067,60,9600,False,True,True,0,2,1,2.0,4,128000
196,232,2,1Fam,1524,88,23595,True,True,True,1,0,1,0.5,7,260000
197,233,2,1Fam,1981,88,17082,True,True,True,1,4,1,2.5,6,230000
198,236,3,1Fam,1074,65,11479,False,True,True,1,3,1,1.0,6,144500
199,237,3,1Fam,1144,68,9571,False,True,True,0,3,1,1.0,5,129000
200,238,3,1Fam,1531,50,9350,False,True,True,1,3,1,1.0,4,127000
201,239,3,1Fam,1172,75,9525,False,True,True,0,3,1,1.0,5,128000
202,240,0,1Fam,1212,83,10420,False,True,True,0,3,1,2.0,6,186000
203,241,0,1Fam,1508,44,17485,False,True,True,1,1,1,1.0,7,308030
204,242,2,1Fam,1298,66,11200,False,True,True,0,3,1,2.0,5,114000
205,244,2,1Fam,1732,77,9206,True,True,True,1,3,1,2.5,6,178000
206,245,2,1Fam,1433,83,11980,False,True,True,1,1,1,1.5,7,270000
207,246,1,1Fam,1802,87,12361,True,True,True,1,3,1,2.5,6,218000
208,247,1,1Fam,1949,80,9938,True,True,True,1,3,1,2.5,7,236000
209,248,1,1Fam,996,73,9069,False,True,True,0,2,1,1.0,6,147000
210,249,0,1Fam,1694,64,10475,False,True,True,0,3,1,2.0,8,245350
211,250,0,1Fam,1208,64,6762,False,True,True,0,2,1,2.0,7,206000
212,251,0,1Fam,1226,94,10402,False,True,True,0,3,1,2.0,7,198900
213,252,0,1Fam,1222,64,7360,False,True,True,0,2,1,2.0,7,187000
214,254,3,1Fam,1445,82,14235,True,True,True,0,3,1,2.0,6,138500
215,255,2,1Fam,1052,80,8816,False,True,True,0,3,1,1.0,6,155000
216,256,1,1Fam,965,82,11105,False,True,True,0,2,1,1.0,5,159000
217,257,1,1Fam,1692,71,9337,True,True,True,1,3,1,2.5,7,191000
218,258,1,1Fam,1682,70,8750,True,True,True,0,3,1,2.5,6,200500
219,259,2,1Fam,1026,38,15240,False,True,True,0,3,1,1.5,5,150000
220,260,2,1Fam,1392,71,10900,True,True,True,0,3,1,1.5,6,161750
221,261,2,1Fam,894,75,10650,False,True,True,0,3,1,1.0,5,128200
222,262,2,1Fam,876,68,7480,False,True,True,0,3,1,1.0,5,127000
223,263,1,1Fam,1978,80,10389,False,True,True,1,3,1,2.5,8,318000
224,264,1,1Fam,1601,71,11423,False,True,True,1,3,1,2.0,8,272000
225,265,1,1Fam,1829,44,9548,True,True,True,1,3,1,2.5,7,237000
226,266,1,1Fam,2098,75,9375,True,True,True,1,4,1,2.5,7,240000
227,267,1,1Fam,1661,48,12137,False,True,True,0,3,1,2.0,7,224900
228,268,1,TwnhsE,848,71,4435,False,True,True,0,1,1,1.0,6,143750
229,269,1,TwnhsE,848,71,4426,False,True,True,0,1,1,1.0,6,143000
230,270,1,1Fam,1668,48,10635,False,True,True,1,3,1,2.0,8,232000
231,271,1,1Fam,1484,70,8400,False,True,True,0,3,1,2.0,7,213000
232,272,1,1Fam,1414,65,8773,False,True,True,0,3,1,2.0,7,185500
233,273,3,1Fam,640,67,8777,False,False,True,0,2,1,1.0,3,84900
234,275,2,Duplex,1664,75,9825,False,False,False,0,4,2,2.0,5,100000
235,276,2,1Fam,1196,60,10044,False,True,True,0,3,1,1.0,5,144000
236,278,2,1Fam,1096,65,6305,False,True,True,1,3,1,1.0,6,125200
237,280,3,1Fam,960,64,6410,False,True,False,0,3,1,1.0,4,90000
238,281,1,1Fam,1121,80,8546,False,True,True,0,2,1,2.0,4,140000
239,282,3,1Fam,1487,52,8741,True,True,True,1,3,1,1.5,6,113000
240,283,3,2fmCon,924,60,12180,True,True,True,0,2,1,1.0,4,80000
241,284,3,1Fam,1526,68,8562,False,True,True,1,4,1,1.0,5,144500
242,285,3,1Fam,1296,67,4853,False,True,True,1,2,1,2.0,5,104000
243,286,3,1Fam,1647,66,6858,True,True,True,0,4,1,1.5,6,128000
244,287,3,1Fam,864,45,8212,False,True,True,0,2,1,1.0,3,58500
245,288,3,1Fam,1691,50,5000,True,True,True,1,3,1,2.0,5,127000
246,289,3,1Fam,856,58,7890,False,True,True,1,2,1,1.0,6,126000
247,291,3,1Fam,1666,51,9839,True,True,False,1,3,1,1.0,5,100000
248,292,3,1Fam,2447,50,9638,True,True,True,1,4,1,2.0,6,169000
249,293,3,1Fam,2133,78,10452,True,True,True,1,4,1,1.5,7,257500
250,294,3,Duplex,2177,78,15600,True,True,True,0,5,2,2.5,5,215000
251,295,3,1Fam,2340,66,9042,True,True,True,1,4,1,2.0,7,266500
252,296,3,1Fam,1902,100,17500,False,True,True,1,3,1,2.0,7,335000
253,297,1,1Fam,1652,85,19645,True,True,True,0,3,1,2.5,7,203135
254,298,2,TwnhsE,1034,35,3907,False,True,True,1,1,1,1.0,8,185000
255,299,2,TwnhsE,1191,35,3907,False,True,True,1,2,1,2.0,8,162500
256,300,3,1Fam,1801,100,15602,False,True,True,1,1,1,2.0,7,289000
257,301,3,1Fam,1154,40,5436,True,True,True,0,3,1,1.0,4,125500
258,302,3,1Fam,540,58,8154,False,True,True,0,1,1,1.0,2,82000
259,303,3,1Fam,1107,50,9140,True,True,True,0,2,1,1.0,6,110000
260,308,1,TwnhsE,1646,44,3811,False,True,True,1,2,1,2.0,8,246000
261,309,1,1Fam,1916,85,11050,True,True,True,1,3,1,2.5,8,254900
262,310,2,1Fam,1285,74,9620,False,True,True,1,3,1,2.0,6,190000
263,312,2,1Fam,1034,73,12328,False,True,True,0,3,1,1.0,6,169900
264,313,2,Duplex,2048,73,12760,False,True,True,0,5,2,3.0,6,170000
265,315,0,1Fam,1346,88,11896,False,True,True,1,3,1,2.0,7,220000
266,316,0,1Fam,1214,73,9803,False,True,True,0,2,1,2.0,7,179781
267,317,0,1Fam,1444,73,9802,True,True,True,0,3,1,2.5,5,174000
268,318,0,1Fam,1968,92,12003,True,True,True,1,4,1,2.5,8,269500
269,319,1,1Fam,1894,80,11316,True,True,True,1,4,1,2.5,7,214900
270,320,1,1Fam,1908,85,14191,True,True,True,0,4,1,2.5,8,202900
271,322,2,1Fam,1264,85,15300,False,True,True,1,2,1,1.0,5,169000
272,323,1,1Fam,1430,93,10114,False,True,True,0,3,1,2.0,5,173500
273,324,2,Duplex,1824,94,9400,True,True,False,0,4,2,3.0,6,139000
274,325,1,1Fam,1344,73,11875,False,True,True,1,3,1,2.0,5,166500
275,326,2,TwnhsE,1092,26,1974,True,True,True,0,3,1,1.5,4,83500
276,327,2,Twnhs,945,31,2394,False,True,True,1,2,1,1.0,5,119500
277,328,2,TwnhsE,1112,36,2592,True,True,True,0,3,1,1.5,5,85000
278,329,2,Twnhs,1092,21,1476,True,True,False,0,3,1,1.5,4,76000
279,330,2,TwnhsE,630,21,1491,False,True,False,0,1,1,1.0,4,75500
280,331,2,TwnhsE,1092,21,1900,True,True,False,0,3,1,1.5,4,88250
281,332,2,TwnhsE,1092,21,1890,True,True,True,0,3,1,1.5,4,85500
282,333,2,1Fam,874,50,6953,False,True,True,0,3,1,1.0,5,130000
283,334,2,1Fam,1188,73,26142,False,True,True,0,3,1,1.0,5,157900
284,335,2,1Fam,833,76,12887,False,True,True,0,2,1,1.0,5,149900
285,336,2,Duplex,2432,70,7700,True,True,True,0,4,2,5.0,5,159000
286,337,1,1Fam,1274,63,10475,True,True,True,0,3,1,1.5,5,136000
287,338,2,1Fam,1479,68,10544,True,True,True,0,5,1,2.0,5,161000
288,339,1,1Fam,1803,76,9892,False,True,True,1,3,1,2.5,8,285000
289,340,1,1Fam,1797,74,12961,True,True,True,1,3,1,2.5,6,231000
290,341,3,1Fam,882,74,13008,False,True,True,0,2,1,1.0,6,124500
291,342,2,1Fam,1434,85,10200,False,True,True,1,4,1,2.0,6,157000
292,344,1,1Fam,1608,88,10179,True,True,True,1,3,1,2.5,6,189500
293,345,1,1Fam,2283,73,11792,True,True,True,1,4,1,2.5,8,270000
294,346,1,1Fam,1628,60,8400,True,True,True,1,3,1,2.5,7,189000
295,348,1,1Fam,1474,73,8530,True,True,True,1,3,1,2.5,7,168500
296,350,1,TwnhsE,1659,40,5664,False,True,True,1,2,1,2.0,8,278000
297,351,1,1Fam,1478,61,7380,False,True,True,0,2,1,2.0,8,240000
298,352,1,TwnhsE,1734,57,8013,False,True,True,0,2,1,2.0,8,239500
299,353,1,1Fam,1382,57,8923,True,True,True,1,3,1,2.5,7,177500
300,354,1,1Fam,1718,74,10141,True,True,True,1,3,1,2.5,7,185000
301,355,1,1Fam,1636,60,7500,True,True,True,1,3,1,2.5,6,191000
302,356,1,1Fam,1571,59,7837,True,True,True,1,3,1,2.5,6,178000
303,357,1,1Fam,1470,73,9765,True,True,True,1,3,1,2.5,6,185000
304,358,1,1Fam,1516,73,8803,True,True,True,1,3,1,2.5,6,181316
305,359,1,1Fam,1190,58,7250,False,True,True,1,3,1,2.0,6,166000
306,360,1,1Fam,1593,73,9636,True,True,True,1,3,1,2.5,6,178000
307,361,1,1Fam,1481,65,8125,True,True,True,1,3,1,2.5,6,174000
308,362,1,1Fam,1167,73,9248,False,True,True,0,3,1,2.0,6,173000
309,363,1,1Fam,1983,73,10762,True,True,True,1,3,1,2.5,7,225000
310,364,1,1Fam,1442,99,11851,False,True,True,0,3,1,2.0,7,180500
311,369,2,1Fam,1934,85,11900,True,True,True,1,3,1,2.5,5,185000
312,370,2,1Fam,2353,94,13005,True,True,True,1,4,1,2.5,7,260000
313,371,2,1Fam,1586,48,17043,False,True,True,1,3,1,2.0,6,181000
314,373,2,1Fam,1602,81,16635,False,True,True,1,3,1,2.0,6,215000
315,375,2,1Fam,1671,80,10928,False,True,True,1,3,1,2.0,6,200000
316,377,2,1Fam,1472,81,14115,False,True,True,1,3,1,2.0,7,187500
317,378,2,1Fam,1707,80,11088,False,True,True,1,3,1,2.0,6,184000
318,382,2,1Fam,1868,81,10304,True,True,True,1,4,1,2.5,5,197500
319,383,1,1Fam,1884,70,7000,True,True,True,1,3,1,2.5,7,240900
320,384,0,1Fam,1935,75,8004,True,True,True,0,3,1,2.5,8,263435
321,385,1,1Fam,1874,65,7500,True,True,True,1,3,1,2.5,8,220000
322,386,1,1Fam,1811,65,8470,True,True,True,1,3,1,2.5,8,235000
323,387,2,1Fam,1621,81,9373,False,True,True,1,3,1,2.0,5,213000
324,388,2,1Fam,1116,78,10140,False,True,True,1,3,1,2.0,6,167900
325,389,2,1Fam,1193,85,11050,False,True,True,1,3,1,2.0,7,158000
326,390,2,1Fam,1350,78,10140,False,True,True,1,3,1,2.0,6,165000
327,392,2,Duplex,1792,60,9000,True,True,False,0,4,2,3.0,5,136000
328,393,2,1Fam,1002,74,8750,False,True,True,0,3,1,1.0,5,148500
329,394,2,1Fam,1026,61,7930,False,True,True,0,3,1,1.0,6,156000
330,395,2,1Fam,1180,74,7830,False,True,True,0,2,1,1.5,5,128000
331,396,2,1Fam,1050,74,8510,False,True,True,0,3,1,1.5,5,143000
332,398,2,1Fam,864,60,6960,False,True,True,0,3,1,1.0,4,120500
333,399,2,1Fam,864,70,8120,False,True,True,0,3,1,1.0,4,124500
334,401,2,1Fam,864,60,9000,False,True,True,0,3,1,1.0,4,130000
335,402,2,Twnhs,987,21,1680,True,True,True,0,2,1,1.5,6,111000
336,403,2,TwnhsE,1365,24,2368,True,True,True,0,3,1,1.5,5,125000
337,405,2,Twnhs,987,21,1680,True,True,True,0,2,1,1.5,6,97000
338,406,2,Twnhs,987,21,1680,True,True,True,0,2,1,1.5,6,118000
339,407,2,Twnhs,1302,21,1680,True,True,True,0,3,1,2.5,5,119500
340,408,2,TwnhsE,958,26,4928,False,True,True,0,2,1,2.0,6,143750
341,409,2,TwnhsE,1548,24,2308,True,True,True,1,3,1,2.5,6,146000
342,410,2,Twnhs,1456,24,2280,True,True,True,1,3,1,2.5,6,148500
